Name*Surname*Surname1*Surname2*Account*Path*Group*DNI*Departament*Enabled*Password*ExpirationAccount*Email*NetTime*Computer
ANTONIO*ALABAU VALENCIA*ALABAU*VALENCIA*aalabauv*OU=Usuarios-Direccion,OU=Direccion,DC=ieselcaminas,DC=mylocal*GG-Direccion*12345707-D*Direccion*yes*Password123*0*aalabauv@ieselcaminas.mylocal*L-V,07:00-15:00*W11-DIR-01
CLAUDIO*GOMIS CAMPOS*GOMIS*CAMPOS*cgomisc*OU=Usuarios-Direccion,OU=Direccion,DC=ieselcaminas,DC=mylocal*GG-Direccion*12345708-E*Direccion*yes*Password123*0*cgomisc@ieselcaminas.mylocal*L-V,07:00-15:00*W11-DIR-01
SUSANA*VALENCIA MONCHO*VALENCIA*MONCHO*svalenciam*OU=Usuarios-Direccion,OU=Direccion,DC=ieselcaminas,DC=mylocal*GG-Direccion*12345709-F*Direccion*yes*Password123*0*svalenciam@ieselcaminas.mylocal*L-V,07:00-15:00*W11-DIR-01
PEDRO*CHAVES ALABAU*CHAVES*ALABAU*pchavesa*OU=Usuarios-Direccion,OU=Direccion,DC=ieselcaminas,DC=mylocal*GG-Direccion*12345710-G*Direccion*yes*Password123*0*pchavesa@ieselcaminas.mylocal*L-V,07:00-15:00*W11-DIR-01
PIEDAD*ALBA GOMIS*ALBA*GOMIS*palbag*OU=Usuarios-Direccion,OU=Direccion,DC=ieselcaminas,DC=mylocal*GG-Direccion*12345711-H*Direccion*yes*Password123*0*palbag@ieselcaminas.mylocal*L-V,07:00-15:00*W11-DIR-01
MANUEL*CARVALHO VALENCIA*CARVALHO*VALENCIA*mcarvalhov*OU=Usuarios-Direccion,OU=Direccion,DC=ieselcaminas,DC=mylocal*GG-Direccion*12345712-I*Direccion*yes*Password123*0*mcarvalhov@ieselcaminas.mylocal*L-V,07:00-15:00*W11-DIR-01
JAVIER*CAMPOS VARGAS*CAMPOS*VARGAS*jcamposv*OU=Usuarios-Direccion,OU=Direccion,DC=ieselcaminas,DC=mylocal*GG-Direccion*12345713-J*Direccion*yes*Password123*0*jcamposv@ieselcaminas.mylocal*L-V,07:00-15:00*W11-DIR-01
EVA*MONCHO CARVALHO*MONCHO*CARVALHO*emonchoc*OU=Usuarios-Direccion,OU=Direccion,DC=ieselcaminas,DC=mylocal*GG-Direccion*12345714-K*Direccion*yes*Password123*0*emonchoc@ieselcaminas.mylocal*L-V,07:00-15:00*W11-DIR-01
RODRIGO*CHAVES CAMPOS*CHAVES*CAMPOS*rchavesc*OU=Usuarios-Direccion,OU=Direccion,DC=ieselcaminas,DC=mylocal*GG-Direccion*12345715-L*Direccion*yes*Password123*0*rchavesc@ieselcaminas.mylocal*L-V,07:00-15:00*W11-DIR-01
JOHANN*ALBA CHAVES*ALBA*CHAVES*jalbac*OU=Usuarios-Direccion,OU=Direccion,DC=ieselcaminas,DC=mylocal*GG-Direccion*12345716-M*Direccion*yes*Password123*0*jalbac@ieselcaminas.mylocal*L-V,07:00-15:00*W11-DIR-01
